,Cities,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Ilulissat,99,GL,1579928265,43,69.22,-51.1,12.2,20.8
1,Vaini,75,TO,1579928329,88,-21.2,-175.2,78.8,6.93
2,Sinop,0,TR,1579928329,56,41.77,34.87,37.2,4.34
3,Albany,1,US,1579928121,94,42.6,-73.97,37.4,4.7
4,Sao Felix do Xingu,100,BR,1579928331,97,-6.64,-51.99,71.44,1.21
5,Carnarvon,0,AU,1579928331,48,-24.87,113.63,87.8,19.46
6,Mugumu,99,TZ,1579928332,71,-1.85,34.7,70.95,3.65
7,Saint George,1,US,1579928127,59,37.1,-113.58,46.99,0.34
8,Bredasdorp,38,ZA,1579928267,94,-34.53,20.04,68.0,2.82
9,Birao,18,CF,1579928334,20,10.28,22.79,56.5,17.31
10,Mackay,75,AU,1579928335,70,-21.15,149.2,86.0,14.99
11,Hithadhoo,83,MV,1579928335,80,-0.6,73.08,82.9,15.73
12,Cherskiy,100,RU,1579928287,91,68.75,161.3,-28.52,1.41
13,Kapaa,75,US,1579928178,73,22.08,-159.32,75.2,6.26
14,Sibolga,7,ID,1579928336,53,1.74,98.78,89.8,3.56
15,Ushuaia,75,AR,1579928337,81,-54.8,-68.3,48.2,4.7
16,Lavrentiya,0,RU,1579928337,78,65.58,-171.0,-16.13,3.53
17,East London,20,ZA,1579928338,82,-33.02,27.91,68.0,3.36
18,Nouadhibou,92,MR,1579928338,59,20.93,-17.03,62.6,16.11
19,Port Alfred,26,ZA,1579928339,93,-33.59,26.89,64.99,5.08
20,Samarai,87,PG,1579928286,66,-10.62,150.67,86.25,3.69
21,Yellowknife,90,CA,1579928340,84,62.46,-114.35,1.0,8.05
22,Barrow,20,US,1579928340,75,71.29,-156.79,-20.2,8.05
23,Padang,47,ID,1579928340,89,-0.95,100.35,77.72,3.56
24,Khatanga,69,RU,1579928341,89,71.97,102.5,-21.55,7.07
25,Kavieng,42,PG,1579928341,73,-2.57,150.8,84.11,15.9
26,Oddur,99,SO,1579928342,62,4.12,43.89,80.06,22.5
27,Nome,1,US,1579928278,75,64.5,-165.41,-18.4,6.2
28,Bluff,77,NZ,1579928261,59,-46.6,168.33,66.0,11.99
29,Castro,13,BR,1579928343,99,-24.79,-50.01,54.27,1.9
30,Ribeira Grande,100,PT,1579928263,88,38.52,-28.7,57.97,17.58
31,Serra,90,BR,1579928344,100,-20.13,-40.31,75.2,5.82
32,Salalah,20,OM,1579928344,73,17.02,54.09,73.4,2.24
33,Canico,40,PT,1579928345,67,32.63,-16.85,60.8,8.05
34,Vila,93,PT,1579928345,93,42.03,-8.16,48.0,4.7
35,Cape Town,75,ZA,1579928261,100,-33.93,18.42,66.0,4.7
36,Avarua,90,CK,1579928347,88,-21.21,-159.78,82.4,6.93
37,Hermanus,0,ZA,1579928348,90,-34.42,19.23,64.0,1.99
38,Vanimo,0,PG,1579928349,77,-2.67,141.3,83.44,12.71
39,Shihezi,99,CN,1579928349,83,44.3,86.03,17.02,4.54
40,Dingle,65,PH,1579928350,66,11.0,122.67,86.7,6.89
41,Bridgwater,90,GB,1579928066,86,51.13,-3.0,43.0,3.36
42,Ancud,40,CL,1579928272,100,-41.87,-73.82,57.2,5.82
43,Kaitangata,57,NZ,1579928275,90,-46.28,169.85,58.12,9.17
44,Ponta do Sol,40,PT,1579928273,67,32.67,-17.1,57.2,8.05
45,Chekhov,40,RU,1579928352,84,55.14,37.47,37.99,11.18
46,Laguna,90,US,1579928353,86,38.42,-121.42,57.2,6.93
47,Cidreira,4,BR,1579928353,78,-30.18,-50.21,71.04,5.86
48,Sao Filipe,13,CV,1579928354,64,14.9,-24.5,72.79,16.51
49,Cozumel,20,MX,1579928354,73,20.51,-86.95,73.0,11.41
50,Busselton,30,AU,1579928355,14,-33.65,115.33,91.99,18.57
51,New Norfolk,75,AU,1579928274,41,-42.78,147.06,77.0,14.99
52,Mataura,71,NZ,1579928356,59,-46.19,168.86,66.0,11.99
53,Saskylakh,100,RU,1579928356,90,71.92,114.08,-23.57,23.33
54,Labuhan,78,ID,1579928356,67,-6.88,112.21,86.95,3.36
55,Tiksi,0,RU,1579928358,76,71.69,128.87,-31.09,5.06
56,Punta Arenas,20,CL,1579928358,87,-53.15,-70.92,48.2,12.75
57,Kamenka,99,RU,1579928359,92,51.32,42.77,32.0,11.01
58,Narsaq,100,GL,1579928262,73,60.92,-46.05,19.4,3.36
59,San Patricio,63,MX,1579928360,74,19.22,-104.7,76.46,6.33
60,Nuevo Progreso,14,MX,1579928360,94,23.17,-97.95,66.99,1.01
61,Nikolskoye,90,RU,1579928262,80,59.7,30.79,35.6,17.9
62,Rikitea,22,PF,1579928361,77,-23.12,-134.97,78.35,14.85
63,Tuktoyaktuk,90,CA,1579928122,83,69.45,-133.04,-4.0,17.22
64,Yarkovo,98,RU,1579928362,94,57.4,67.08,5.49,8.72
65,Roald,100,NO,1579928363,86,62.58,6.13,39.2,14.99
66,Tasiilaq,100,GL,1579928269,58,65.61,-37.64,24.8,25.28
67,Jackson,90,US,1579928364,100,42.42,-122.83,48.99,3.04
68,Jamestown,90,US,1579928193,93,42.1,-79.24,44.01,8.05
69,Fayaoue,0,NC,1579928365,82,-20.65,166.53,79.03,22.32
70,Thompson,5,CA,1579928365,85,55.74,-97.86,12.2,5.82
71,Atambua,64,ID,1579928365,70,-9.11,124.89,83.53,6.08
72,Manta,40,EC,1579928282,83,-0.95,-80.73,78.8,5.86
73,Hobart,75,AU,1579928265,41,-42.88,147.33,77.0,14.99
74,Batagay-Alyta,0,RU,1579928367,54,67.8,130.41,-34.42,3.8
75,Sept-Iles,5,CA,1579928149,76,50.2,-66.38,-4.0,3.36
76,Itarema,71,BR,1579928368,94,-2.92,-39.92,75.43,4.07
77,Clarence Town,40,AU,1579928369,74,-32.58,151.78,87.01,12.75
78,Lubango,100,AO,1579928370,83,-14.92,13.49,63.54,2.84
79,Hong Kong,40,HK,1579928266,64,22.29,114.16,78.01,11.41
80,Esperance,40,AU,1579928370,50,-33.87,121.9,78.8,13.87
81,Jhelum,86,PK,1579928371,30,32.93,73.73,60.6,3.02
82,Grindavik,90,IS,1579928372,77,63.84,-22.43,35.6,31.09
83,Bethel,40,US,1579928284,91,41.37,-73.41,39.2,6.93
